interaction_id,channel,transcript,expected_category,expected_queue,expected_priority,expected_escalation,synthetic,generation_seed
EVAL-0180,voice,A subscription renewal posted unexpectedly under reference SYN-00180.,billing,Billing Operations,medium,false,true,20260813
EVAL-0051,web,"For context, this started earlier today. A vehicle hit my fence and caused property damage. Case SYN-00051; nobody is injured. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0016,voice,A weapon was reported near facility Riverside Center. This is an emergency linked to case SYN-00016.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0057,chat,A service vehicle damaged the garage at location West Annex. Claim case SYN-00057.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0166,email,I was charged twice for invoice SYN-00166 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0058,email,"For context, this started earlier today. My gate was broken during the stop. Order SYN-00058 is connected to the report. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0295,web,Please confirm who owns follow-up for reference SYN-00295.,general_support,General Operations,low,false,true,20260813
EVAL-0151,web,"For context, this started earlier today. I was charged twice for invoice SYN-00151 and need a refund for the duplicate charge. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0251,web,"For context, this started earlier today. I need help understanding the policy connected with case SYN-00251. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0024,voice,Heavy smoke is spreading through the service corridor at Harbor Office; evacuation is underway for report SYN-00024.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0242,email,One missing item was not included in delivery SYN-00242.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0208,voice,"For context, this started earlier today. The driver marked order SYN-00208 complete, but nothing arrived. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0284,voice,I have a general question and would like someone to contact me at demo.user284@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0105,chat,Two-factor authentication rejects every code for user demo.user105@example.com; case SYN-00105.,account_access,Account Support,medium,false,true,20260813
EVAL-0102,email,My password reset link fails every time. Account email: demo.user102@example.com. Ticket SYN-00102.,account_access,Account Support,medium,false,true,20260813
EVAL-0255,web,Please confirm who owns follow-up for reference SYN-00255.,general_support,General Operations,low,false,true,20260813
EVAL-0243,web,"For context, this started earlier today. The driver marked order SYN-00243 complete, but nothing arrived. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0227,web,One missing item was not included in delivery SYN-00227.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0003,web,"There is a fire at location Building C, and people may be in immediate danger. Incident SYN-00003.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0115,web,"For context, this started earlier today. Two-factor authentication rejects every code for user demo.user115@example.com; case SYN-00115. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0053,chat,My gate was broken during the stop. Order SYN-00053 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0020,voice,The caller says the area is unsafe after a threat near location North Campus. Ticket SYN-00020 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0164,voice,The amount on statement SYN-00164 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0147,web,My password reset link fails every time. Account email: demo.user147@example.com. Ticket SYN-00147.,account_access,Account Support,medium,false,true,20260813
EVAL-0282,email,Please update the contact name on ticket SYN-00282. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0045,chat,"There is a fire at location North Campus, and people may be in immediate danger. Incident SYN-00045.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0215,web,"For context, this started earlier today. The parcel for order SYN-00215 went to a neighbor and the photo confirms it. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0027,web,"There is a fire at location West Annex, and people may be in immediate danger. Incident SYN-00027.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0075,web,A mailbox was knocked over during delivery for order SYN-00075. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0276,voice,I need help understanding the policy connected with case SYN-00276.,general_support,General Operations,low,false,true,20260813
EVAL-0004,voice,A weapon was reported near facility Harbor Office. This is an emergency linked to case SYN-00004.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0277,chat,Please update the contact name on ticket SYN-00277. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0234,email,My late order SYN-00234 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0184,voice,The amount on statement SYN-00184 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0130,email,Two-factor authentication rejects every code for user demo.user130@example.com; case SYN-00130.,account_access,Account Support,medium,false,true,20260813
EVAL-0248,voice,"The driver marked order SYN-00248 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0037,chat,A caller reported a collision at the West Annex. One person is hurt and incident SYN-00037 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0077,chat,A service vehicle damaged the garage at location West Annex. Claim case SYN-00077.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0179,web,"For context, this started earlier today. The amount on statement SYN-00179 is incorrect and I need an adjustment. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0095,web,A mailbox was knocked over during delivery for order SYN-00095. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0267,web,Please update the contact name on ticket SYN-00267. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0012,voice,Heavy smoke is spreading through the service corridor at West Annex; evacuation is underway for report SYN-00012.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0269,chat,I have a general question and would like someone to contact me at demo.user269@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0188,voice,Please explain the billing terms on invoice SYN-00188. Contact me at demo.user188@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0134,email,The sign-in page loops back to verification and never lets me continue. Contact demo.user134@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0119,web,The sign-in page loops back to verification and never lets me continue. Contact demo.user119@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0036,voice,"For context, this started earlier today. Heavy smoke is spreading through the service corridor at Riverside Center; evacuation is underway for report SYN-00036. Please document the next action.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0158,email,"For context, this started earlier today. Please explain the billing terms on invoice SYN-00158. Contact me at demo.user158@example.com. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0187,web,Payment for invoice SYN-00187 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0025,chat,A caller reported a collision at the North Campus. One person is hurt and incident SYN-00025 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0230,email,The parcel for order SYN-00230 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0074,email,The courier scraped a parked car and left visible damage. Reference SYN-00074.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0247,web,One missing item was not included in delivery SYN-00247.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0189,chat,The amount on statement SYN-00189 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0071,web,A vehicle hit my fence and caused property damage. Case SYN-00071; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0194,email,The amount on statement SYN-00194 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0183,web,Please explain the billing terms on invoice SYN-00183. Contact me at demo.user183@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0297,chat,Please update the contact name on ticket SYN-00297. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0279,web,"For context, this started earlier today. I have a general question and would like someone to contact me at demo.user279@example.com. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0213,chat,"The driver marked order SYN-00213 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0080,voice,A mailbox was knocked over during delivery for order SYN-00080. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0228,voice,"The driver marked order SYN-00228 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0117,chat,My password reset link fails every time. Account email: demo.user117@example.com. Ticket SYN-00117.,account_access,Account Support,medium,false,true,20260813
EVAL-0159,web,The amount on statement SYN-00159 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0021,chat,"There is a fire at location Riverside Center, and people may be in immediate danger. Incident SYN-00021.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0026,email,The caller says the area is unsafe after a threat near location Riverside Center. Ticket SYN-00026 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0126,email,I am locked out of my account and the verification code is not arriving at demo.user126@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0205,chat,The parcel for order SYN-00205 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0190,email,A subscription renewal posted unexpectedly under reference SYN-00190.,billing,Billing Operations,medium,false,true,20260813
EVAL-0293,chat,"For context, this started earlier today. Where can I find the current service hours for location Building C? Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0294,email,I have a general question and would like someone to contact me at demo.user294@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0281,chat,I need help understanding the policy connected with case SYN-00281.,general_support,General Operations,low,false,true,20260813
EVAL-0061,chat,A vehicle hit my fence and caused property damage. Case SYN-00061; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0160,voice,A subscription renewal posted unexpectedly under reference SYN-00160.,billing,Billing Operations,medium,false,true,20260813
EVAL-0300,voice,"For context, this started earlier today. Please confirm who owns follow-up for reference SYN-00300. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0280,voice,Please confirm who owns follow-up for reference SYN-00280.,general_support,General Operations,low,false,true,20260813
EVAL-0221,chat,My package for order SYN-00221 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0056,voice,A vehicle hit my fence and caused property damage. Case SYN-00056; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0103,web,I cannot login after changing phones. Please restore access for demo.user103@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0070,email,A mailbox was knocked over during delivery for order SYN-00070. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0028,voice,A weapon was reported near facility Building C. This is an emergency linked to case SYN-00028.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0232,voice,One missing item was not included in delivery SYN-00232.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0274,email,I have a general question and would like someone to contact me at demo.user274@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0143,web,"For context, this started earlier today. I cannot login after changing phones. Please restore access for demo.user143@example.com. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0096,voice,A vehicle hit my fence and caused property damage. Case SYN-00096; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
